Model,Overall_Macro_F1,Overall_Micro_F1,Overall_mAP,Attr_Macro_F1,Attr_Micro_F1,Attr_mAP,Nickname_Macro_F1,NonNickname_Macro_F1,HVR,HVR_subcat,HVR_attr,Attr_viol_pct
MLGCN,0.14870348048569004,0.1608741003701832,0.23296240708735189,0.07491146830403025,0.09129477079376497,0.14615375565399163,0.0315,0.122,1.0,0.2772020725388601,1.0,0.3243364186627099
Q2L,0.1486582513197247,0.16124662591298822,0.17026776991491777,0.07471909837281451,0.09113058106119015,0.07055461975585385,0.0313,0.1218,1.0,0.5086355785837651,0.9991364421416234,0.27506954582974713
CNNFlat,0.1469600707218132,0.16395261399637578,0.2452885484622772,0.07472153845284417,0.09112393853675767,0.16724979637914425,0.0313,0.1218,1.0,0.46545768566493956,0.9991364421416234,0.2871237689051811
CNNHier,0.14522038125771286,0.1622198663741032,0.2186718758122048,0.07478640137977154,0.09119654786387855,0.13218156644731488,0.0314,0.1219,0.9974093264248705,0.3860103626943005,0.9965457685664939,0.2976173327649817
CNNGAT,0.14461272735393899,0.1617571822117277,0.1987039287422109,0.07472533666684038,0.09112700419693345,0.11064416968728404,0.0313,0.1218,0.9991364421416234,0.39291882556131263,0.998272884283247,0.27477624347529794
TResNet,0.14199324945735242,0.1610414040340372,0.21568206100613296,0.07478181693536634,0.09130234491747286,0.12929866735277065,0.0314,0.1219,0.9974093264248705,0.5250431778929189,0.9974093264248705,0.2872595304810568
ViTMLC,0.1416456661531433,0.1603080948971783,0.20650285717186223,0.0747413895707063,0.09116331253067808,0.1261363933057332,0.0313,0.1218,0.998272884283247,0.3687392055267703,0.998272884283247,0.2969938843222942
ResNetASL,0.12280198031045232,0.16351085674341387,0.091368727994774,0.07471851950385403,0.09112317215394276,0.04778979429535978,0.0313,0.1218,0.0,0.0,0.0,0.0
