Model,Cat_MicroF1,Subcat_MicroF1,Attr_MicroF1,Macro_F1,Micro_F1,Macro_Precision,Micro_Precision,Macro_Recall,Micro_Recall,mAP
HierFashion_v2,,,,0.080620901568804,0.8818514179241421,0.08042419887363088,0.8811673107845073,0.0819834891416064,0.8825365881222806,0.09124510919034862
CNNFlat,,,,0.08105338343748184,0.03264867328464432,0.07389025221526385,0.016763322866149462,0.10380421447129913,0.6233683675199186,0.10841785516528313
MLGCN,,,,0.08966288978827426,0.04862240361513666,0.08237311324228101,0.025040177637258416,0.11304777528682212,0.8350850426625982,0.10775717721246077
TResNet,,,,0.08809939622030452,0.04494431630470362,0.08040561716425276,0.02309438650181964,0.11294922322020651,0.8340679211165735,0.10746079213280064
CNNHier,,,,0.08567755129783028,0.0448628246586846,0.08155469823636238,0.02305088078349431,0.10833757998535176,0.8346894953946997,0.10493956601500727
ViTMLC,,,,0.08499375938866953,0.04478865942613873,0.0772042503783394,0.023005705532214236,0.11116986745195599,0.8426852008815053,0.10428024988324412
CNNGAT,,,,0.08603906292486557,0.044607964960601224,0.0801083930070509,0.02291005532700436,0.10789014504847749,0.8431090015256824,0.10386426527357011
Q2L,,,,0.08493264024430468,0.04333766217881098,0.0810435632170813,0.022335703780092333,0.10547410002368351,0.7257586031530768,0.09531467398292137
ResNetASL,,,,0.028012646333423766,0.04293440930160621,0.021938155525122054,0.02193815552512205,0.1184573002754821,1.0,0.03583998921937545
